No.,RELACION FICHAS TECNICAS,CATEGORY,SUBCATEGORY,URL
33,26.2_FT_Cubierta Termoacustica UPVC Blanca O.A,CUBIERTAS,CUBIERTA TERMOACUSTICA UPVC 2.5mm BLANCA ONDA ALTA,https://drive.google.com/file/d/1tR_djdYIoBcdm5RVoZh5BB12tfAcH3Io/view?usp=drive_link
34,26.3_FT_Cubierta Termoacustica UPVC Blanca O.B,CUBIERTAS,CUBIERTA TERMOACUSTICA UPVC 2.0mm BLANCA ONDA BAJA,https://drive.google.com/file/d/1uZzty74MjWJKghhGEJ5ae2WsOFUB6pwz/view?usp=drive_link
35,26.4_FT_Teja Termoacustica UPVC 2.5mm COLONIAL,CUBIERTAS,TEJA PVC TERRACOTA COLONIAL,https://drive.google.com/file/d/1koEV0Lb8PC1Kn4rXKTT2DC_aQpVf_22b/view?usp=drive_link
36,26.5_FT_Teja UPVC Tipo Zinc,CUBIERTAS,TEJA UPVC TIPO ZINC,https://drive.google.com/file/d/1MgEyDPrWOi_tAdZLvLG_Y9_8C8aVxZ_z/view?usp=drive_link
37,26.6_FT_Cubierta Acanalada UPV Blanca,CUBIERTAS,CUBIERTA ACANALADA UPVC BLANCA 11.80,https://drive.google.com/file/d/122xZLjPRPRjn5uvR7Qu6acF9lI665vDY/view?usp=drive_link
38,27_FT_Adhesivo de Montaje PEGATEC,PEGANTES,PEGANTES,https://drive.google.com/file/d/1HrXrxTQOqxF6_DQl8Lvc2xI-gwWqVnWN/view?usp=drive_link
39,28.1_FT_Iluminación Perfil Led,ILUMINACIÓN,ILUMINACION,https://drive.google.com/file/d/1YBd2gsPijzmJdzQkX5NdnBpNAtr3DZkk/view?usp=drive_link
40,28.2_FT_Iluminación Transformador Perfil Led,ILUMINACIÓN,ILUMINACION,https://drive.google.com/file/d/1S1rD6mHyl5rM5y_zOvk4A0bZPmf5eg_j/view?usp=drive_link
41,28.3_FT_Iluminación Control Led,ILUMINACIÓN,ILUMINACION,https://drive.google.com/file/d/1J9y9PHmqAe_lNAv2PKqVoBvH0t5XSNDH/view?usp=drive_link
42,29.1_FT_Jardin Artificial Exterior,JARDINES ARTIFICIALES,JARDINES EXTERIOR,https://drive.google.com/file/d/1UjizIbDHB1OvvjOkHmz68d_3Wy1tsV0L/view?usp=drive_link
43,29.2_FT_Jardín Artificial Interior,JARDINES ARTIFICIALES,JARDINES INTERIOR,https://drive.google.com/file/d/1j89qjwt2P81F0H3rbnBr76vybH87a0BV/view?usp=drive_link
44,29.3_FT_Jardín Artificial Linea Moss,JARDINES ARTIFICIALES,JARDINES MOSS,https://drive.google.com/file/d/1De1h60C3N7N9JiAncVl4f0p8ev-V6Hld/view?usp=drive_link
45,30.1_FT_Aluminio_Ferretero,ALUMINIO,,Producto no ingresado en WEBSITE
46,30.2_FT_Perfileria Aluminio Arquitéctonico,ALUMINIO,,Producto no ingresado en WEBSITE
47,31_FT_Platinas_Metálicas,PANELES WPC,,Producto no ingresado en WEBSITE
48,32_FT_Perfil Base Metalico Negro,LISTONES,,Producto no ingresado en WEBSITE
49,33_FT_Cinta Adhesiva Papel,CINTAS ADHESIVAS,CINTA ADHESIVA DE PAPEL,https://drive.google.com/file/d/1zY3-sCMHTFUhN6zCIzHWbAl5sXSAzecH/view?usp=drive_link
50,34_FT_Cinta Adhesiva Metalica,CINTAS ADHESIVAS,CINTA ADHESIVA METALICA,https://drive.google.com/file/d/1dmlQRh7TywUPlWLCzts7PHpB9Bvu5wyj/view?usp=drive_link
51,35.1_FT_Fachada PVC Exterior ,PAREDES,FACHADA EXTERIOR PVC,https://drive.google.com/file/d/1eVQ43yP8jlZ2XtoeojCQ0xMFNlY53tHK/view?usp=drive_link
52,35.2_FT_Fachada PVC Muralla Gris,PAREDES,FACHADA EXTERIOR PVC,https://drive.google.com/file/d/1eYBBvDFgWjfsMwt889ySxX8k4KM1ibWj/view?usp=drive_link
53,35.3_FT_Fachada PVC Ambar Rustico,PAREDES,FACHADA EXTERIOR PVC,https://drive.google.com/file/d/1iZr5KJpUl0myWrR5l47nSMgc_iE7EmNZ/view?usp=drive_link
54,36_FT_Pelicula Inteligente / Film Smart Glass,PELICULA INTELIGENTE,,Producto no ingresado en WEBSITE
55,37_FT_Panel WPC Plano,PAREDES,,Producto no ingresado en WEBSITE
